Dataset,SiteCode,POC,Date,SiteName,Latitude,Longitude,Elevation,State,ammNO3f_Val,ammNO3f_Unit,ammSO4f_Val,ammSO4f_Unit,ECf_Val,ECf_Unit,OMCf_Val,OMCf_Unit,SOILf_Val,SOILf_Unit,SVR_Val,SVR_Unit
IMPRHR2GM,ACAD1,1,01/01/2010,Acadia NP,44.3771,-68.261,157.3333,ME,0.18256,ug/m^3,1.34418,ug/m^3,0.12601,ug/m^3,1.41416,ug/m^3,0.22406,ug/m^3,148.29175,km
IMPRHR2GM,ACAD1,1,01/01/2011,Acadia NP,44.3771,-68.261,157.3333,ME,0.2583,ug/m^3,1.57566,ug/m^3,0.1307,ug/m^3,1.39271,ug/m^3,0.11901,ug/m^3,128.69904,km
IMPRHR2GM,ACAD1,1,01/01/2012,Acadia NP,44.3771,-68.261,157.3333,ME,0.25595,ug/m^3,1.20502,ug/m^3,0.11914,ug/m^3,1.27175,ug/m^3,0.13757,ug/m^3,138.23939,km
IMPRHR2GM,ACAD1,1,01/01/2013,Acadia NP,44.3771,-68.261,157.3333,ME,0.22514,ug/m^3,1.13458,ug/m^3,0.10302,ug/m^3,1.15735,ug/m^3,0.11709,ug/m^3,150.37528,km
IMPRHR2GM,ACAD1,1,01/01/2014,Acadia NP,44.3771,-68.261,157.3333,ME,0.28823,ug/m^3,1.17288,ug/m^3,0.11079,ug/m^3,1.26031,ug/m^3,0.12583,ug/m^3,138.28609,km
IMPRHR2GM,ACAD1,1,01/01/2015,Acadia NP,44.3771,-68.261,157.3333,ME,0.25178,ug/m^3,1.13513,ug/m^3,0.10547,ug/m^3,1.49335,ug/m^3,0.15069,ug/m^3,148.80366,km
IMPRHR2GM,ACAD1,1,01/01/2016,Acadia NP,44.3771,-68.261,157.3333,ME,0.22423,ug/m^3,0.75975,ug/m^3,0.07902,ug/m^3,1.14183,ug/m^3,0.09853,ug/m^3,164.75532,km
IMPRHR2GM,ACAD1,1,01/01/2017,Acadia NP,44.3771,-68.261,157.3333,ME,0.26719,ug/m^3,0.86471,ug/m^3,0.10579,ug/m^3,1.50302,ug/m^3,0.1173,ug/m^3,146.66891,km
IMPRHR2GM,ACAD1,1,01/01/2018,Acadia NP,44.3771,-68.261,157.3333,ME,0.26166,ug/m^3,0.74031,ug/m^3,0.1125,ug/m^3,1.20208,ug/m^3,0.11723,ug/m^3,160.43812,km
IMPRHR2GM,ACAD1,1,01/01/2019,Acadia NP,44.3771,-68.261,157.3333,ME,0.22329,ug/m^3,0.71242,ug/m^3,0.11586,ug/m^3,1.29909,ug/m^3,0.10026,ug/m^3,167.3862,km
