Dataset,SiteCode,POC,Date,SiteName,State,ammNO3f_Val,ammNO3f_Unit,TCf_Val,TCf_Unit,CUf_Val,CUf_Unit,Pf_Val,Pf_Unit,Kf_Val,Kf_Unit,SeaSaltf_Val,SeaSaltf_Unit,SIf_Val,SIf_Unit,NAf_Val,NAf_Unit,SOILf_Val,SOILf_Unit,SRf_Val,SRf_Unit,SO4f_Val,SO4f_Unit,Sf_Val,Sf_Unit,TIf_Val,TIf_Unit,Vf_Val,Vf_Unit,ZNf_Val,ZNf_Unit
IMPAER,AGTI1,1,01/02/2022,Agua Tibia,CA,0.0352,ug/m^3,0.30768,ug/m^3,0.00047,ug/m^3,0,ug/m^3,0.01667,ug/m^3,0.03249,ug/m^3,0.0499,ug/m^3,-0.00062,ug/m^3,0.2247,ug/m^3,0.00034,ug/m^3,0.08621,ug/m^3,0.03222,ug/m^3,0.00136,ug/m^3,0,ug/m^3,0.00029,ug/m^3
IMPAER,AGTI1,1,01/05/2022,Agua Tibia,CA,0.38509,ug/m^3,0.96214,ug/m^3,0.00118,ug/m^3,0.00059,ug/m^3,0.01788,ug/m^3,0.00641,ug/m^3,0.04429,ug/m^3,0.02254,ug/m^3,0.25341,ug/m^3,0.00027,ug/m^3,0.11619,ug/m^3,0.04802,ug/m^3,0.00256,ug/m^3,0,ug/m^3,0.00584,ug/m^3
IMPAER,AGTI1,1,01/08/2022,Agua Tibia,CA,5.11432,ug/m^3,2.03734,ug/m^3,0.00448,ug/m^3,0.00202,ug/m^3,0.03434,ug/m^3,0.24696,ug/m^3,0.04052,ug/m^3,0.11027,ug/m^3,0.24525,ug/m^3,0.00058,ug/m^3,0.88067,ug/m^3,0.27242,ug/m^3,0.00227,ug/m^3,0.00033,ug/m^3,0.00614,ug/m^3
IMPAER,AGTI1,1,01/11/2022,Agua Tibia,CA,0.05439,ug/m^3,0.19029,ug/m^3,0.00038,ug/m^3,0,ug/m^3,0.01507,ug/m^3,0.01996,ug/m^3,0.02415,ug/m^3,0.00143,ug/m^3,0.11755,ug/m^3,0.0002,ug/m^3,0.12103,ug/m^3,0.04986,ug/m^3,0.00102,ug/m^3,0.00001,ug/m^3,0.00045,ug/m^3
IMPAER,AGTI1,1,01/14/2022,Agua Tibia,CA,0.30703,ug/m^3,0.58203,ug/m^3,0.00094,ug/m^3,0.00059,ug/m^3,0.01874,ug/m^3,0.0167,ug/m^3,0.0957,ug/m^3,-0.00064,ug/m^3,0.48861,ug/m^3,0.00021,ug/m^3,0.09503,ug/m^3,0.03709,ug/m^3,0.00331,ug/m^3,0.00001,ug/m^3,0.00155,ug/m^3
IMPAER,AGTI1,1,01/17/2022,Agua Tibia,CA,0.97729,ug/m^3,1.28871,ug/m^3,0.00176,ug/m^3,0.00097,ug/m^3,0.02683,ug/m^3,0.07648,ug/m^3,0.04526,ug/m^3,0.08836,ug/m^3,0.25258,ug/m^3,0.00029,ug/m^3,0.28798,ug/m^3,0.1066,ug/m^3,0.00201,ug/m^3,0.00072,ug/m^3,0.00506,ug/m^3
IMPAER,AGTI1,1,01/20/2022,Agua Tibia,CA,,,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,,,-999,ug/m^3,-999,ug/m^3,,,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3
IMPAER,AGTI1,1,01/23/2022,Agua Tibia,CA,,,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,,,-999,ug/m^3,-999,ug/m^3,,,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3
IMPAER,AGTI1,1,01/26/2022,Agua Tibia,CA,,,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,,,-999,ug/m^3,-999,ug/m^3,,,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3
IMPAER,AGTI1,1,01/29/2022,Agua Tibia,CA,,,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,,,-999,ug/m^3,-999,ug/m^3,,,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3,-999,ug/m^3
